stcofips,langoha,langstr,lep,se,b
41001,afa,afa,0,0,0
41001,afa,afa,1,0,0
41001,ara,ara,0,0,0
41001,ara,ara,1,0,0
41001,arm,arm,0,.0004064058510539,.000203202929697
41001,arm,arm,1,.0023467691765559,.0011733846040443
41001,ben,ben,0,1.284360877189119,.0001264078891836
41001,ben,ben,1,.001614516962042,.0008072584751062
41001,swa,swa,0,0,0
41001,swa,swa,1,0,0
41001,chn,chn,0,44.62888541657276,2.999999955296516
41001,chn,chn,1,0,0
41001,eng,eng,0,92882.49367884133,15609.99975585938
41001,eng,eng,1,0,0
41001,fre,fre,0,72.31376384398878,54.99969005584717
41001,fre,fre,1,0,0
41001,ger,ger,0,145.5960988454823,3.189916431903839
41001,ger,ger,1,0,0
41001,gre,gre,0,18.601728199073,.0003635757602751
41001,gre,gre,1,.0029083445589396,.0014541723066941
41001,guj,guj,0,.0005639542910005,.0002819771470968
41001,guj,guj,1,.0029440443604682,.0014720221515745
41001,hat,hat,0,14.45621219140241,.0003111630212516
41001,hat,hat,1,0,0
41001,heb,heb,0,0,0
41001,heb,heb,1,0,0
41001,hin,hin,0,.0002820408025604,.000141020398587
41001,hin,hin,1,.002619483304388,.0013097416376695
41001,hmn,hmn,0,.0011409450294535,.0005704725044779
41001,hmn,hmn,1,.0033920138953341,.0016960069769993
41001,ita,ita,0,75.11421804128113,1.487173557281494
41001,ita,ita,1,105.5548953743975,.0013638376258314
41001,jpn,jpn,0,124.5308245758103,1.837037086486816
41001,jpn,jpn,1,48.59441726079258,.0030451401835307
41001,khm,khm,0,.0011389804766553,.0005694902502
41001,khm,khm,1,.0022407381234526,.0011203690664843
41001,kor,kor,0,0,0
41001,kor,kor,1,27.29449805406646,6.999999761581421
41001,mal,mal,0,.0013904646141012,.0009822024148889
41001,mal,mal,1,.0062883644325591,.0031441822648048
41001,nav,nav,0,0,0
41001,nav,nav,1,0,0
41001,qas,qas,0,24.38089749772497,.0028215466300026
41001,qas,qas,1,.0214547032315695,.0107273515313864
41001,qie,qie,0,74.97756238999843,.0017501808761153
41001,qie,qie,1,74.65716623825647,.0123763791052625
41001,nep,nep,0,.0016465275452413,.0008232637774199
41001,nep,nep,1,.0062395649171325,.0053064175881445
41001,qna,qna,0,0,0
41001,qna,qna,1,0,0
41001,map,map,0,394.6580575914737,9.155998706817627
41001,map,map,1,9.480925513841131,.0200630053877831
41001,qsl,qsl,0,.0002893543194689,.00020441434026
41001,qsl,qsl,1,0,0
41001,und,und,0,0,0
41001,und,und,1,0,0
41001,pan,pan,0,.000262861632926,.0001314308174187
41001,pan,pan,1,.0073224082835039,.0036612041294575
41001,per,per,0,.0002465558361115,.0001232779177371
41001,per,per,1,.0028581738591064,.0014290869003162
41001,pol,pol,0,65.07072474431186,.0039835474453866
41001,pol,pol,1,0,0
41001,por,por,0,102.2205361070571,2.508683234453201
